direction,entryTime,entryPrice,exitTime,exitPrice,profit,profitPct,growth,riskPct,riskSeries,rmultiple,holdingPeriod,exitReason,stopPrice,stopPriceSeries,profitTarget,entry,open,high,low,close,volume,time,longTermDirection,upTrendCounter,downTrendCounter,longSma,shortSma,longEma,shortEma,rsi
1,2020/02/26,212.89,2020/02/27,202.2455,-10.644499999999994,-4.999999999999997,0.9500000000000001,4.999999999999997,,-1,0,stop-loss,202.2455,,,[object Object],5.75,5.95,5.66,5.8,2225820,2020-02-19T00:00:00.000Z,1,4,0,6.346333333333334,5.594285714285713,28.742513075307944,5.70710878372074,37.93103448275862
1,2020/03/02,193.81,2020/03/09,184.11950000000002,-9.690499999999986,-4.999999999999993,0.9500000000000001,4.999999999999993,,-1,4,stop-loss,184.11950000000002,,,[object Object],3.37,3.38,3,3.2,1876297,2020-03-10T00:00:00.000Z,1,0,11,5.069999999999999,3.6957142857142853,13.771609860994213,3.6699374822980313,18.89952153110049
1,2020/03/11,192.94,2020/03/12,183.293,-9.646999999999991,-4.999999999999996,0.9500000000000001,4.999999999999996,,-1,0,stop-loss,183.293,,,[object Object],2.75,2.83,2.5,2.83,1540841,2020-03-13T00:00:00.000Z,1,0,14,4.689000000000001,3.172857142857143,11.76934553723567,3.126692375344482,17.43341404358354
1,2020/03/16,157.1,2020/03/17,149.245,-7.85499999999999,-4.999999999999993,0.9500000000000001,4.999999999999993,,-1,0,stop-loss,149.245,,,[object Object],2.93,3.25,2.88,3.23,1873810,2020-04-12T23:00:00.000Z,1,5,0,3.0126666666666666,2.892857142857143,5.21146595733187,2.963081214878245,63.05732484076433
1,2020/03/19,135.2,2020/04/07,184.53,49.33000000000001,36.486686390532554,1.3648668639053256,4.999999999999994,,7.297337278106521,12,exit-rule,128.44,,,[object Object],3.4,3.59,3.34,3.55,1205931,2020-04-16T23:00:00.000Z,1,9,0,2.9390000000000005,3.2471428571428573,4.788218561102176,3.26995929064507,58.45070422535211
1,2020/05/13,176.18,2020/05/21,184.18,8,4.54081053468044,1.0454081053468045,4.999999999999998,,0.9081621069360883,5,exit-rule,167.371,,,[object Object],5.8,5.8,5.33,5.5,1823241,2020-06-11T23:00:00.000Z,1,6,0,4.9399999999999995,6.137142857142856,5.181435321003564,5.787870763944033,59.18367346938775
1,2020/06/22,186,2020/07/15,193.9,7.900000000000006,4.247311827956992,1.04247311827957,5.000000000000006,,0.8494623655913974,15,exit-rule,176.7,,,[object Object],7.33,7.68,6.82,7.6,5001300,2020-07-13T23:00:00.000Z,1,4,0,6.065666666666668,7.112857142857143,6.074613446968108,7.126294358281216,59.856630824372765
1,2020/10/28,218.39,2020/11/09,207.4705,-10.9195,-5,0.95,5,,-1,7,stop-loss,207.4705,,,[object Object],17.55,17.7,16.23,17.1,7132867,2020-08-05T23:00:00.000Z,1,4,0,9.429,15.854285714285712,10.755017939083476,15.712541462223419,71.05380168963984
-1,2020/11/11,214.81,2020/11/25,219.98,5.1699999999999875,2.406778082957026,1.0240677808295702,4.999999999999999,,0.4813556165914053,9,exit-rule,204.0695,,,[object Object],9.41,9.45,8.8,9.06,6688552,2020-08-26T23:00:00.000Z,-1,0,14,12.57366666666667,10.258571428571429,11.52909652190577,10.42839313473095,12.664714494875525
1,2020/11/30,216.46,2020/12/16,214.88,-1.5800000000000125,-0.7299270072992758,0.9927007299270072,5.000000000000003,,-0.14598540145985506,11,exit-rule,205.637,,,[object Object],8.14,8.17,7.65,8.08,3320140,2020-09-30T23:00:00.000Z,1,4,0,8.661,7.765714285714286,8.797243147596701,7.940994066033869,48.07692307692308
1,2020/12/22,211.2,2020/12/24,211.39,0.18999999999999773,0.08996212121212015,1.0008996212121213,5.000000000000002,,0.017992424242424022,2,finalize,200.64,,,[object Object],26.67,33.28,24.53,32.7,35324406,2020-12-02T00:00:00.000Z,1,5,0,20.822666666666667,32.53142857142858,22.299714859985137,30.616883357722294,75.08896797153025
