Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           115  
profit                 15   
profitPct              15   
growth                 1    
totalTrades            15   
barCount               53   
maxDrawdown            -11  
maxDrawdownPct         -10  
maxRiskPct             5    
expectency             0    
rmultipleStdDev        1    
systemQuality          0    
profitFactor           2    
proportionProfitable   1    
percentProfitable      60   
returnOnAccount        2    
averageProfitPerTrade  1    
numWinningTrades       9    
numLosingTrades        6    
averageWinningTrade    23   
averageLosingTrade     -21  
expectedValue          5    
