Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           121  
profit                 21   
profitPct              21   
growth                 1    
totalTrades            10   
barCount               24   
maxDrawdown            -24  
maxDrawdownPct         -23  
maxRiskPct             5    
expectency             0    
rmultipleStdDev        2    
systemQuality          0    
profitFactor           1    
proportionProfitable   0    
percentProfitable      40   
returnOnAccount        1    
averageProfitPerTrade  2    
numWinningTrades       4    
numLosingTrades        6    
averageWinningTrade    1    
averageLosingTrade     0    
expectedValue          0    
