Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           128  
profit                 28   
profitPct              28   
growth                 1    
totalTrades            14   
barCount               34   
maxDrawdown            -23  
maxDrawdownPct         -19  
maxRiskPct             5    
expectency             0    
rmultipleStdDev        2    
systemQuality          0    
profitFactor           2    
proportionProfitable   1    
percentProfitable      50   
returnOnAccount        2    
averageProfitPerTrade  2    
numWinningTrades       7    
numLosingTrades        7    
averageWinningTrade    6    
averageLosingTrade     -3   
expectedValue          1    
