Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           86   
profit                 -14  
profitPct              -14  
growth                 1    
totalTrades            14   
barCount               83   
maxDrawdown            -19  
maxDrawdownPct         -19  
maxRiskPct             5    
expectency             0    
rmultipleStdDev        1    
systemQuality          0    
profitFactor           1    
proportionProfitable   0    
percentProfitable      36   
returnOnAccount        -1   
averageProfitPerTrade  -1   
numWinningTrades       5    
numLosingTrades        9    
averageWinningTrade    2    
averageLosingTrade     -2   
expectedValue          0    
