Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           113  
profit                 13   
profitPct              13   
growth                 1    
totalTrades            12   
barCount               39   
maxDrawdown            -23  
maxDrawdownPct         -23  
maxRiskPct             5    
expectency             0    
rmultipleStdDev        2    
systemQuality          0    
profitFactor           2    
proportionProfitable   0    
percentProfitable      42   
returnOnAccount        1    
averageProfitPerTrade  1    
numWinningTrades       5    
numLosingTrades        7    
averageWinningTrade    16   
averageLosingTrade     -6   
expectedValue          3    
