Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           97   
profit                 -3   
profitPct              -3   
growth                 1    
totalTrades            15   
barCount               24   
maxDrawdown            -26  
maxDrawdownPct         -26  
maxRiskPct             5    
expectency             0    
rmultipleStdDev        2    
systemQuality          0    
profitFactor           1    
proportionProfitable   0    
percentProfitable      33   
returnOnAccount        0    
averageProfitPerTrade  0    
numWinningTrades       5    
numLosingTrades        10   
averageWinningTrade    3    
averageLosingTrade     -1   
expectedValue          0    
