Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           122  
profit                 22   
profitPct              22   
growth                 1    
totalTrades            9    
barCount               27   
maxDrawdown            -10  
maxDrawdownPct         -10  
maxRiskPct             5    
expectency             1    
rmultipleStdDev        2    
systemQuality          0    
profitFactor           2    
proportionProfitable   1    
percentProfitable      56   
returnOnAccount        2    
averageProfitPerTrade  2    
numWinningTrades       5    
numLosingTrades        4    
averageWinningTrade    2    
averageLosingTrade     -1   
expectedValue          0    
