Metric                 Value
---------------------  -----
startingCapital        714  
finalCapital           1074 
profit                 360  
profitPct              50   
growth                 2    
totalTrades            13   
barCount               50   
maxDrawdown            -132 
maxDrawdownPct         -19  
maxRiskPct             5    
expectency             1    
rmultipleStdDev        3    
systemQuality          0    
profitFactor           2    
proportionProfitable   0    
percentProfitable      46   
returnOnAccount        3    
averageProfitPerTrade  28   
numWinningTrades       6    
numLosingTrades        7    
averageWinningTrade    16   
averageLosingTrade     -6   
expectedValue          4    
