direction,entryTime,entryPrice,exitTime,exitPrice,profit,profitPct,growth,riskPct,riskSeries,rmultiple,holdingPeriod,exitReason,stopPrice,stopPriceSeries,profitTarget,entry,open,high,low,close,volume,time,longTermDirection,upTrendCounter,downTrendCounter,longSma,shortSma,longEma,shortEma,rsi
1,2020/02/18,131.66,2020/02/20,125.077,-6.582999999999998,-4.999999999999999,0.95,4.999999999999999,,-1,1,stop-loss,125.077,,,[object Object],336.16,337.02,334.68,335.26,54773045,2020-02-11T00:00:00.000Z,1,4,0,,331.7371428571428,,332.42237729228873,55.39053905390541
1,2020/02/24,110.3,2020/03/06,104.785,-5.515000000000001,-5.000000000000001,0.95,5.000000000000001,,-1,8,stop-loss,104.785,,,[object Object],267.96,276,265.25,274.03,152670223,2020-04-07T23:00:00.000Z,1,4,0,265.64599999999996,258.2771428571429,271.39877266027383,261.2955860754945,63.68386675375571
1,2020/03/10,101.06,2020/03/11,96.007,-5.052999999999997,-4.999999999999997,0.9500000000000001,4.999999999999997,,-1,0,stop-loss,96.007,,,[object Object],280.98,284.9,275.51,283.79,133510280,2020-04-13T23:00:00.000Z,1,7,0,263.47233333333327,269.98,272.8393852643892,271.9897003755992,70.4098031337887
1,2020/03/13,82.71,2020/03/16,78.5745,-4.135499999999993,-4.999999999999992,0.9500000000000001,4.999999999999992,,-1,0,stop-loss,78.5745,,,[object Object],291.53,294.88,290.41,293.21,118066585,2020-04-28T23:00:00.000Z,1,5,0,264.9776666666668,282.8828571428572,278.13618180269947,285.0781753951159,64.48640483383687
1,2020/03/18,64.785,2020/04/13,92.5,27.715000000000003,42.77996449795478,1.4277996449795478,4.999999999999997,,8.55599289959096,16,exit-rule,61.54575,,,[object Object],290.34,294,289.88,292.5,78982891,2020-05-10T23:00:00.000Z,1,4,0,277.08033333333333,287.06,282.1375733992528,288.669434032705,70.76397780623132
1,2020/05/18,114.53,2020/05/22,108.8035,-5.7265000000000015,-5.000000000000001,0.95,5.000000000000001,,-1,3,stop-loss,108.8035,,,[object Object],294.57,295.63,293.22,295.44,63697627,2020-05-21T23:00:00.000Z,1,5,0,285.94533333333334,292.21000000000004,286.2185937342463,292.9447458651189,62.439740096415875
1,2020/05/27,107.34,2020/06/04,101.973,-5.367000000000004,-5.0000000000000036,0.95,5.0000000000000036,,-1,5,stop-loss,101.973,,,[object Object],313.3,319.76,312,318.92,92791839,2020-07-13T23:00:00.000Z,1,4,0,311.7776666666667,316.10571428571427,309.50209458414344,315.52588719444987,56.47746558551761
1,2020/06/08,105.53,2020/06/17,119.48,13.950000000000003,13.21898986070312,1.1321898986070311,4.999999999999999,,2.6437979721406246,6,exit-rule,100.2535,,,[object Object],325.9,326.63,321.33,326.52,85210755,2020-07-30T23:00:00.000Z,1,4,0,316.5163333333333,323.4042857142857,317.6819442019937,324.0308382388877,68.14791796146669
1,2020/08/12,151.45,2020/08/17,143.8775,-7.572499999999991,-4.999999999999994,0.9500000000000001,4.999999999999994,,-1,2,stop-loss,143.8775,,,[object Object],341.12,342.02,338.4683,340.17,52920862,2020-09-14T23:00:00.000Z,1,4,0,340.0919999999999,337.45,337.9802253208938,339.1865948488826,46.67340407613274
1,2020/08/19,149,2020/08/27,162.59,13.590000000000003,9.120805369127519,1.0912080536912752,4.999999999999993,,1.8241610738255065,5,exit-rule,141.55,,,[object Object],337.69,338.74,335.01,337.04,88698745,2020-09-30T23:00:00.000Z,1,4,0,338.4790000000001,330.47999999999996,334.39479817183957,333.0512317808321,53.082333471245356
1,2020/09/14,157.06,2020/09/16,168,10.939999999999998,6.965490895199284,1.0696549089519929,5.000000000000005,,1.3930981790398556,1,exit-rule,149.207,,,[object Object],356.4,357.56,355.06,356.67,58649048,2020-11-11T00:00:00.000Z,1,5,0,342.566,349.32000000000005,342.43996267906806,349.8117855316915,60.32887975334022
1,2020/11/02,205.66,2020/11/05,221.975,16.314999999999998,7.932996207332489,1.079329962073325,4.999999999999994,,1.5865992414664998,2,exit-rule,195.377,,,[object Object],367.72,370.78,367.67,370.17,42458859,2020-12-08T00:00:00.000Z,1,5,0,353.94700000000006,367.23857142857145,357.3930897844086,367.38465463574573,66.35834189791014
1,2020/11/11,220.01,2020/11/13,232.59,12.580000000000013,5.717921912640341,1.0571792191264033,4.999999999999995,,1.1435843825280694,1,exit-rule,209.0095,,,[object Object],368.28,369.62,367.2172,367.57,46201402,2020-12-23T00:00:00.000Z,1,5,0,364.22100000000006,369.12142857142857,362.983716673648,368.1696147500893,51.87873612297181
