Metric                 Value
---------------------  -----
startingCapital        625  
finalCapital           740  
profit                 115  
profitPct              18   
growth                 1    
totalTrades            12   
barCount               33   
maxDrawdown            -166 
maxDrawdownPct         -23  
maxRiskPct             5    
expectency             0    
rmultipleStdDev        3    
systemQuality          0    
profitFactor           1    
proportionProfitable   0    
percentProfitable      33   
returnOnAccount        1    
averageProfitPerTrade  10   
numWinningTrades       4    
numLosingTrades        8    
averageWinningTrade    5    
averageLosingTrade     -2   
expectedValue          0    
