Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           188  
profit                 88   
profitPct              88   
growth                 2    
totalTrades            16   
barCount               43   
maxDrawdown            -23  
maxDrawdownPct         -14  
maxRiskPct             5    
expectency             1    
rmultipleStdDev        2    
systemQuality          0    
profitFactor           3    
proportionProfitable   1    
percentProfitable      56   
returnOnAccount        6    
averageProfitPerTrade  5    
numWinningTrades       9    
numLosingTrades        7    
averageWinningTrade    88   
averageLosingTrade     -37  
expectedValue          33   
