Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           135  
profit                 35   
profitPct              35   
growth                 1    
totalTrades            13   
barCount               31   
maxDrawdown            -23  
maxDrawdownPct         -23  
maxRiskPct             5    
expectency             1    
rmultipleStdDev        3    
systemQuality          0    
profitFactor           2    
proportionProfitable   0    
percentProfitable      38   
returnOnAccount        2    
averageProfitPerTrade  3    
numWinningTrades       5    
numLosingTrades        8    
averageWinningTrade    14   
averageLosingTrade     -4   
expectedValue          3    
