Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           152  
profit                 52   
profitPct              52   
growth                 2    
totalTrades            33   
barCount               76   
maxDrawdown            -60  
maxDrawdownPct         -30  
maxRiskPct             5    
expectency             0    
rmultipleStdDev        3    
systemQuality          0    
profitFactor           1    
proportionProfitable   0    
percentProfitable      24   
returnOnAccount        2    
averageProfitPerTrade  2    
numWinningTrades       8    
numLosingTrades        25   
averageWinningTrade    5    
averageLosingTrade     -1   
expectedValue          0    
