Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           132  
profit                 32   
profitPct              32   
growth                 1    
totalTrades            10   
barCount               35   
maxDrawdown            -17  
maxDrawdownPct         -13  
maxRiskPct             5    
expectency             1    
rmultipleStdDev        2    
systemQuality          0    
profitFactor           1    
proportionProfitable   1    
percentProfitable      50   
returnOnAccount        2    
averageProfitPerTrade  3    
numWinningTrades       5    
numLosingTrades        5    
averageWinningTrade    33   
averageLosingTrade     -23  
expectedValue          5    
