Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           106  
profit                 6    
profitPct              6    
growth                 1    
totalTrades            16   
barCount               34   
maxDrawdown            -12  
maxDrawdownPct         -10  
maxRiskPct             2    
expectency             0    
rmultipleStdDev        1    
systemQuality          0    
profitFactor           1    
proportionProfitable   0    
percentProfitable      38   
returnOnAccount        1    
averageProfitPerTrade  0    
numWinningTrades       6    
numLosingTrades        10   
averageWinningTrade    87   
averageLosingTrade     -48  
expectedValue          3    
