direction,entryTime,entryPrice,exitTime,exitPrice,profit,profitPct,growth,riskPct,riskSeries,rmultiple,holdingPeriod,exitReason,stopPrice,stopPriceSeries,profitTarget,entry,open,high,low,close,volume,time,longTermDirection,upTrendCounter,downTrendCounter,longSma,shortSma,longEma,shortEma,rsi
1,2020/01/15,22.93,2020/01/17,22.4714,-0.45860000000000056,-2.0000000000000027,0.98,2.0000000000000027,,-1,1,stop-loss,22.4714,,,[object Object],741.84,818,735,804,26289300,2020-02-13T00:00:00.000Z,1,5,0,603.9193333333333,764.0971428571429,603.9193333333333,765.6819872889332,70.85411362605936
1,2020/01/28,22.61,2020/01/29,22.157799999999998,-0.45220000000000127,-2.0000000000000058,0.98,2.0000000000000058,,-1,0,stop-loss,22.157799999999998,,,[object Object],545.25,557,511.11,539.25,21222700,2020-03-25T00:00:00.000Z,1,4,0,664.6206666666666,446.44714285714286,581.7944483654081,487.12224744804917,34.965840676370846
1,2020/02/11,25.76,2020/02/13,27.44,1.6799999999999997,6.521739130434781,1.065217391304348,2.0000000000000004,,3.2608695652173902,1,exit-rule,25.2448,,,[object Object],790.17,803.2,783.16,800.51,16216000,2020-04-28T23:00:00.000Z,1,5,0,597.2423333333334,745.4271428571429,660.666235645927,756.2607952511428,75.25640768319852
1,2020/02/18,29,2020/02/19,28.42,-0.5799999999999983,-1.9999999999999942,0.9800000000000001,1.9999999999999942,,-1,0,stop-loss,28.42,,,[object Object],820.5,826,811.8,815.56,7309300,2020-05-19T23:00:00.000Z,1,4,0,750.732,805.7242857142857,745.7912815763445,805.7154195723353,56.09350123027934
1,2020/04/02,23.98,2020/04/07,26.11,2.129999999999999,8.882402001668051,1.0888240200166805,2.0000000000000058,,4.441201000834014,2,exit-rule,23.5004,,,[object Object],447.94,451,428.8,442.15,86406819,2020-09-17T23:00:00.000Z,1,4,0,956.1053333333331,417.2542857142857,788.9491232569076,439.0889632112956,57.66516470176738
1,2020/04/13,27.03,2020/04/16,28.38,1.3499999999999979,4.994450610432844,1.0499445061043284,2.000000000000005,,2.4972253052164164,2,exit-rule,26.4894,,,[object Object],422.7,432.95,421.25,422.64,32370461,2020-10-20T23:00:00.000Z,1,6,0,424.71699999999987,438.8442857142857,507.5992232062889,431.8875640836509,41.06066974919433
1,2020/04/20,28.69,2020/04/21,28.116200000000003,-0.5737999999999985,-1.999999999999995,0.9800000000000001,1.999999999999995,,-1,0,stop-loss,28.116200000000003,,,[object Object],540.4,559.99,526.2,555.38,52058771,2020-11-24T00:00:00.000Z,1,4,0,436.8806666666667,486.06428571428575,462.8333335645662,496.4334974895272,79.56965590073045
1,2020/04/23,29.96,2020/04/24,29.3608,-0.5991999999999997,-1.9999999999999991,0.98,1.9999999999999991,,-1,0,stop-loss,29.3608,,,[object Object],628.19,658.82,619.5,655.9,56270144,2020-12-17T00:00:00.000Z,1,5,0,536.593,627.6128571428571,563.7932050517128,630.4843570855553,61.79140609239459
1,2020/05/14,30.22,2020/05/19,33.05,2.8299999999999983,9.36465916611515,1.0936465916611515,1.9999999999999944,,4.682329583057588,2,exit-rule,29.6156,,,[object Object],632.2,651.4999,622.5701,645.98,33172972,2020-12-23T00:00:00.000Z,1,9,0,567.6436666666667,649.0142857142857,585.504805263963,645.7352848591015,58.19314641744548
1,2020/06/08,34.71,2020/06/09,34.0158,-0.6942000000000021,-2.000000000000006,0.98,2.000000000000006,,-1,0,stop-loss,34.0158,,,[object Object],87,89.44,85.26,87.26,2410793,2020-02-06T00:00:00.000Z,1,4,0,,81.7314285714286,,84.72894389279627,69.5134756737837
1,2020/06/11,34.11,2020/06/15,35.06,0.9500000000000028,2.785107006742899,1.027851070067429,2.000000000000005,,1.392553503371446,1,exit-rule,33.4278,,,[object Object],140.51,146.65,138.2,141.15,9284038,2020-03-26T00:00:00.000Z,1,4,0,114.26233333333333,135.29,163.8089813367843,134.6833114038435,64.43870412226887
1,2020/06/17,39.6,2020/06/19,44.19,4.589999999999996,11.590909090909081,1.1159090909090907,2.000000000000004,,5.795454545454529,1,exit-rule,38.808,,,[object Object],147.1,152.28,145.1,150.25,6552834,2020-04-21T23:00:00.000Z,1,6,0,132.67566666666667,148.04,146.97567570876632,145.4178719177207,57.45470912568921
1,2020/07/02,48.42,2020/07/06,47.4516,-0.9684000000000026,-2.0000000000000053,0.98,2.0000000000000053,,-1,0,stop-loss,47.4516,,,[object Object],163.61,171.5,159.17,167.14,11081302,2020-05-12T23:00:00.000Z,1,4,0,145.1156666666667,157.46714285714285,152.03230418080057,159.03369141192667,48.95352581302994
1,2020/08/03,44.785,2020/08/06,43.8893,-0.8956999999999979,-1.9999999999999956,0.9800000000000001,1.9999999999999956,,-1,2,stop-loss,43.8893,,,[object Object],167,173.86,166.21,173.68,8485526,2020-05-18T23:00:00.000Z,1,8,0,150.817,167.96714285714285,156.31864673710808,166.9133554858049,65.8545115411518
