Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           182  
profit                 82   
profitPct              82   
growth                 2    
totalTrades            17   
barCount               5    
maxDrawdown            -11  
maxDrawdownPct         -11  
maxRiskPct             2    
expectency             2    
rmultipleStdDev        8    
systemQuality          0    
profitFactor           3    
proportionProfitable   0    
percentProfitable      24   
returnOnAccount        7    
averageProfitPerTrade  5    
numWinningTrades       4    
numLosingTrades        13   
averageWinningTrade    1    
averageLosingTrade     0    
expectedValue          0    
