Metric                 Value
---------------------  -----
startingCapital        714  
finalCapital           881  
profit                 166  
profitPct              23   
growth                 1    
totalTrades            16   
barCount               18   
maxDrawdown            -48  
maxDrawdownPct         -6   
maxRiskPct             2    
expectency             1    
rmultipleStdDev        2    
systemQuality          0    
profitFactor           2    
proportionProfitable   0    
percentProfitable      44   
returnOnAccount        4    
averageProfitPerTrade  10   
numWinningTrades       7    
numLosingTrades        9    
averageWinningTrade    2    
averageLosingTrade     -1   
expectedValue          0    
