Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           105  
profit                 5    
profitPct              5    
growth                 1    
totalTrades            10   
barCount               53   
maxDrawdown            -6   
maxDrawdownPct         -6   
maxRiskPct             2    
expectency             0    
rmultipleStdDev        1    
systemQuality          0    
profitFactor           2    
proportionProfitable   1    
percentProfitable      50   
returnOnAccount        1    
averageProfitPerTrade  1    
numWinningTrades       5    
numLosingTrades        5    
averageWinningTrade    8    
averageLosingTrade     -4   
expectedValue          2    
