Metric                 Value
---------------------  -----
startingCapital        625  
finalCapital           1045 
profit                 420  
profitPct              67   
growth                 2    
totalTrades            22   
barCount               18   
maxDrawdown            -43  
maxDrawdownPct         -4   
maxRiskPct             2    
expectency             1    
rmultipleStdDev        3    
systemQuality          0    
profitFactor           4    
proportionProfitable   1    
percentProfitable      55   
returnOnAccount        17   
averageProfitPerTrade  19   
numWinningTrades       12   
numLosingTrades        10   
averageWinningTrade    3    
averageLosingTrade     -1   
expectedValue          1    
