Metric                 Value
---------------------  -----
startingCapital        500  
finalCapital           598  
profit                 98   
profitPct              20   
growth                 1    
totalTrades            12   
barCount               24   
maxDrawdown            -35  
maxDrawdownPct         -6   
maxRiskPct             2    
expectency             1    
rmultipleStdDev        2    
systemQuality          0    
profitFactor           3    
proportionProfitable   1    
percentProfitable      50   
returnOnAccount        3    
averageProfitPerTrade  8    
numWinningTrades       6    
numLosingTrades        6    
averageWinningTrade    4    
averageLosingTrade     -1   
expectedValue          1    
