Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           103  
profit                 3    
profitPct              3    
growth                 1    
totalTrades            12   
barCount               63   
maxDrawdown            -6   
maxDrawdownPct         -5   
maxRiskPct             2    
expectency             0    
rmultipleStdDev        1    
systemQuality          0    
profitFactor           1    
proportionProfitable   1    
percentProfitable      58   
returnOnAccount        1    
averageProfitPerTrade  0    
numWinningTrades       7    
numLosingTrades        5    
averageWinningTrade    3    
averageLosingTrade     -3   
expectedValue          0    
