Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           132  
profit                 32   
profitPct              32   
growth                 1    
totalTrades            18   
barCount               12   
maxDrawdown            -8   
maxDrawdownPct         -6   
maxRiskPct             2    
expectency             1    
rmultipleStdDev        3    
systemQuality          0    
profitFactor           2    
proportionProfitable   0    
percentProfitable      39   
returnOnAccount        5    
averageProfitPerTrade  2    
numWinningTrades       7    
numLosingTrades        11   
averageWinningTrade    1    
averageLosingTrade     0    
expectedValue          0    
