Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           109  
profit                 9    
profitPct              9    
growth                 1    
totalTrades            16   
barCount               21   
maxDrawdown            -7   
maxDrawdownPct         -6   
maxRiskPct             2    
expectency             0    
rmultipleStdDev        2    
systemQuality          0    
profitFactor           1    
proportionProfitable   0    
percentProfitable      38   
returnOnAccount        2    
averageProfitPerTrade  1    
numWinningTrades       6    
numLosingTrades        10   
averageWinningTrade    1    
averageLosingTrade     -1   
expectedValue          0    
