Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           186  
profit                 86   
profitPct              86   
growth                 2    
totalTrades            10   
barCount               9    
maxDrawdown            -3   
maxDrawdownPct         -2   
maxRiskPct             2    
expectency             3    
rmultipleStdDev        3    
systemQuality          1    
profitFactor           16   
proportionProfitable   1    
percentProfitable      80   
returnOnAccount        43   
averageProfitPerTrade  9    
numWinningTrades       8    
numLosingTrades        2    
averageWinningTrade    0    
averageLosingTrade     0    
expectedValue          0    
