Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           127  
profit                 27   
profitPct              27   
growth                 1    
totalTrades            15   
barCount               43   
maxDrawdown            -4   
maxDrawdownPct         -4   
maxRiskPct             2    
expectency             1    
rmultipleStdDev        2    
systemQuality          0    
profitFactor           3    
proportionProfitable   1    
percentProfitable      53   
returnOnAccount        7    
averageProfitPerTrade  2    
numWinningTrades       8    
numLosingTrades        7    
averageWinningTrade    7    
averageLosingTrade     -3   
expectedValue          2    
