direction,entryTime,entryPrice,exitTime,exitPrice,profit,profitPct,growth,riskPct,riskSeries,rmultiple,holdingPeriod,exitReason,stopPrice,stopPriceSeries,profitTarget,entry,open,high,low,close,volume,time,longTermDirection,upTrendCounter,downTrendCounter,longSma,shortSma,longEma,shortEma,rsi
1,2020/01/17,7.97,2020/01/21,7.8106,-0.15939999999999976,-1.9999999999999973,0.98,1.9999999999999973,,-1,0,stop-loss,7.8106,,,[object Object],5.75,5.95,5.66,5.8,2225820,2020-02-19T00:00:00.000Z,1,4,0,6.346333333333334,5.594285714285713,28.742513075307944,5.70710878372074,37.93103448275862
1,2020/01/24,8.5597,2020/01/27,8.388506,-0.17119399999999985,-1.9999999999999982,0.98,1.9999999999999982,,-1,0,stop-loss,8.388506,,,[object Object],3.37,3.38,3,3.2,1876297,2020-03-10T00:00:00.000Z,1,0,11,5.069999999999999,3.6957142857142853,13.771609860994213,3.6699374822980313,18.89952153110049
1,2020/02/20,5.85,2020/02/24,5.733,-0.11699999999999999,-2,0.98,2,,-1,1,stop-loss,5.733,,,[object Object],2.75,2.83,2.5,2.83,1540841,2020-03-13T00:00:00.000Z,1,0,14,4.689000000000001,3.172857142857143,11.76934553723567,3.126692375344482,17.43341404358354
1,2020/04/14,3.39,2020/04/15,3.3222,-0.06780000000000008,-2.0000000000000027,0.98,2.0000000000000027,,-1,0,stop-loss,3.3222,,,[object Object],2.93,3.25,2.88,3.23,1873810,2020-04-12T23:00:00.000Z,1,5,0,3.0126666666666666,2.892857142857143,5.21146595733187,2.963081214878245,63.05732484076433
1,2020/04/20,3.48,2020/04/23,3.84,0.3599999999999999,10.344827586206893,1.103448275862069,1.9999999999999967,,5.1724137931034555,2,exit-rule,3.4104,,,[object Object],3.4,3.59,3.34,3.55,1205931,2020-04-16T23:00:00.000Z,1,9,0,2.9390000000000005,3.2471428571428573,4.788218561102176,3.26995929064507,58.45070422535211
1,2020/04/27,4.35,2020/04/29,4.77,0.41999999999999993,9.655172413793101,1.096551724137931,1.9999999999999942,,4.827586206896565,1,exit-rule,4.263,,,[object Object],5.8,5.8,5.33,5.5,1823241,2020-06-11T23:00:00.000Z,1,6,0,4.9399999999999995,6.137142857142856,5.181435321003564,5.787870763944033,59.18367346938775
1,2020/05/05,4.17,2020/05/06,4.0866,-0.08340000000000014,-2.0000000000000036,0.98,2.0000000000000036,,-1,0,stop-loss,4.0866,,,[object Object],7.33,7.68,6.82,7.6,5001300,2020-07-13T23:00:00.000Z,1,4,0,6.065666666666668,7.112857142857143,6.074613446968108,7.126294358281216,59.856630824372765
1,2020/05/11,4.8,2020/05/13,5,0.20000000000000018,4.1666666666666705,1.0416666666666667,2.0000000000000018,,2.0833333333333335,1,exit-rule,4.704,,,[object Object],17.55,17.7,16.23,17.1,7132867,2020-08-05T23:00:00.000Z,1,4,0,9.429,15.854285714285712,10.755017939083476,15.712541462223419,71.05380168963984
-1,2020/06/15,5.19,2020/06/17,5.8,0.6099999999999994,11.753371868978792,1.117533718689788,1.9999999999999933,,5.876685934489416,1,exit-rule,5.086200000000001,,,[object Object],9.41,9.45,8.8,9.06,6688552,2020-08-26T23:00:00.000Z,-1,0,14,12.57366666666667,10.258571428571429,11.52909652190577,10.42839313473095,12.664714494875525
1,2020/07/15,8,2020/07/16,7.84,-0.16000000000000014,-2.0000000000000018,0.98,2.0000000000000018,,-1,0,stop-loss,7.84,,,[object Object],8.14,8.17,7.65,8.08,3320140,2020-09-30T23:00:00.000Z,1,4,0,8.661,7.765714285714286,8.797243147596701,7.940994066033869,48.07692307692308
1,2020/07/23,9.23,2020/07/24,9.0454,-0.18459999999999965,-1.9999999999999962,0.9800000000000001,1.9999999999999962,,-1,0,stop-loss,9.0454,,,[object Object],26.67,33.28,24.53,32.7,35324406,2020-12-02T00:00:00.000Z,1,5,0,20.822666666666667,32.53142857142858,22.299714859985137,30.616883357722294,75.08896797153025
1,2020/08/07,16.74,2020/08/11,18.6,1.860000000000003,11.11111111111113,1.1111111111111114,2.000000000000008,,5.555555555555543,1,exit-rule,16.405199999999997,,,[object Object],32.19,38.2229,31.912,37.81,17141785,2020-12-10T00:00:00.000Z,1,5,0,24.209666666666667,33.94428571428572,26.265067986968056,34.14909374213368,66.62585700293829
1,2020/10/02,7.7,2020/10/06,8.11,0.40999999999999925,5.324675324675314,1.053246753246753,1.9999999999999991,,2.662337662337659,1,exit-rule,7.546,,,[object Object],36.2,41,36.02,39.29,18830507,2020-12-16T00:00:00.000Z,1,9,0,27.049666666666663,36.78857142857142,28.944892158262512,36.66072887934699,52.57510729613734
long,2020/10/14,12.78,2020/10/15,12.5244,-0.2555999999999994,-1.9999999999999951,0.9800000000000001,1.9999999999999951,,-1,0,stop-loss,12.5244,,,,,,,,,,,,,,,,,
long,2020/10/19,14.85,2020/10/21,15.75,0.9000000000000004,6.060606060606063,1.0606060606060606,2.000000000000004,,3.0303030303030254,1,exit-rule,14.552999999999999,,,,,,,,,,,,,,,,,
long,2020/10/23,16.65,2020/10/27,18.31,1.6600000000000001,9.969969969969972,1.0996996996996997,1.9999999999999907,,4.984984984985009,1,exit-rule,16.317,,,,,,,,,,,,,,,,,
long,2020/11/03,16.56,2020/11/05,17.95,1.3900000000000006,8.39371980676329,1.083937198067633,1.9999999999999944,,4.1968599033816565,1,exit-rule,16.2288,,,,,,,,,,,,,,,,,
long,2020/12/03,33.4588,2020/12/04,32.789623999999996,-0.6691760000000002,-2.000000000000001,0.98,2.000000000000001,,-1,0,stop-loss,32.789623999999996,,,,,,,,,,,,,,,,,
long,2020/12/11,38,2020/12/14,37.24,-0.759999999999998,-1.999999999999995,0.9800000000000001,1.999999999999995,,-1,0,stop-loss,37.24,,,,,,,,,,,,,,,,,
long,2020/12/17,39.34,2020/12/18,38.553200000000004,-0.7867999999999995,-1.9999999999999987,0.98,1.9999999999999987,,-1,0,stop-loss,38.553200000000004,,,,,,,,,,,,,,,,,
long,2020/12/23,48.37,2020/12/24,47.4026,-0.9673999999999978,-1.9999999999999956,0.9800000000000001,1.9999999999999956,,-1,0,stop-loss,47.4026,,,,,,,,,,,,,,,,,
