Metric                 Value
---------------------  -----
startingCapital        714  
finalCapital           1112 
profit                 397  
profitPct              56   
growth                 2    
totalTrades            18   
barCount               30   
maxDrawdown            -61  
maxDrawdownPct         -6   
maxRiskPct             2    
expectency             1    
rmultipleStdDev        2    
systemQuality          1    
profitFactor           4    
proportionProfitable   1    
percentProfitable      61   
returnOnAccount        9    
averageProfitPerTrade  22   
numWinningTrades       11   
numLosingTrades        7    
averageWinningTrade    14   
averageLosingTrade     -5   
expectedValue          6    
