Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           198  
profit                 98   
profitPct              98   
growth                 2    
totalTrades            19   
barCount               12   
maxDrawdown            -9   
maxDrawdownPct         -6   
maxRiskPct             2    
expectency             2    
rmultipleStdDev        3    
systemQuality          1    
profitFactor           5    
proportionProfitable   1    
percentProfitable      53   
returnOnAccount        17   
averageProfitPerTrade  5    
numWinningTrades       10   
numLosingTrades        9    
averageWinningTrade    1    
averageLosingTrade     0    
expectedValue          0    
