Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           129  
profit                 29   
profitPct              29   
growth                 1    
totalTrades            21   
barCount               14   
maxDrawdown            -11  
maxDrawdownPct         -10  
maxRiskPct             2    
expectency             1    
rmultipleStdDev        2    
systemQuality          0    
profitFactor           2    
proportionProfitable   0    
percentProfitable      33   
returnOnAccount        3    
averageProfitPerTrade  1    
numWinningTrades       7    
numLosingTrades        14   
averageWinningTrade    1    
averageLosingTrade     0    
expectedValue          0    
