Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           128  
profit                 28   
profitPct              28   
growth                 1    
totalTrades            16   
barCount               21   
maxDrawdown            -8   
maxDrawdownPct         -6   
maxRiskPct             2    
expectency             1    
rmultipleStdDev        2    
systemQuality          0    
profitFactor           3    
proportionProfitable   0    
percentProfitable      44   
returnOnAccount        5    
averageProfitPerTrade  2    
numWinningTrades       7    
numLosingTrades        9    
averageWinningTrade    28   
averageLosingTrade     -9   
expectedValue          8    
