Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           224  
profit                 124  
profitPct              124  
growth                 2    
totalTrades            24   
barCount               24   
maxDrawdown            -6   
maxDrawdownPct         -4   
maxRiskPct             2    
expectency             2    
rmultipleStdDev        2    
systemQuality          1    
profitFactor           8    
proportionProfitable   1    
percentProfitable      71   
returnOnAccount        31   
averageProfitPerTrade  5    
numWinningTrades       17   
numLosingTrades        7    
averageWinningTrade    4    
averageLosingTrade     -1   
expectedValue          2    
