Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           262  
profit                 162  
profitPct              162  
growth                 3    
totalTrades            19   
barCount               8    
maxDrawdown            -7   
maxDrawdownPct         -6   
maxRiskPct             2    
expectency             3    
rmultipleStdDev        6    
systemQuality          0    
profitFactor           12   
proportionProfitable   0    
percentProfitable      42   
returnOnAccount        27   
averageProfitPerTrade  9    
numWinningTrades       8    
numLosingTrades        11   
averageWinningTrade    1    
averageLosingTrade     0    
expectedValue          0    
