Metric                 Value
---------------------  -----
startingCapital        625  
finalCapital           1441 
profit                 816  
profitPct              131  
growth                 2    
totalTrades            23   
barCount               19   
maxDrawdown            -47  
maxDrawdownPct         -5   
maxRiskPct             2    
expectency             2    
rmultipleStdDev        3    
systemQuality          1    
profitFactor           5    
proportionProfitable   1    
percentProfitable      57   
returnOnAccount        29   
averageProfitPerTrade  35   
numWinningTrades       13   
numLosingTrades        10   
averageWinningTrade    3    
averageLosingTrade     -1   
expectedValue          1    
