Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           215  
profit                 115  
profitPct              115  
growth                 2    
totalTrades            18   
barCount               61   
maxDrawdown            -10  
maxDrawdownPct         -6   
maxRiskPct             2    
expectency             2    
rmultipleStdDev        5    
systemQuality          0    
profitFactor           8    
proportionProfitable   0    
percentProfitable      44   
returnOnAccount        20   
averageProfitPerTrade  6    
numWinningTrades       8    
numLosingTrades        10   
averageWinningTrade    2    
averageLosingTrade     0    
expectedValue          1    
