Metric                 Value
---------------------  -----
startingCapital        625  
finalCapital           1014 
profit                 389  
profitPct              62   
growth                 2    
totalTrades            23   
barCount               18   
maxDrawdown            -105 
maxDrawdownPct         -10  
maxRiskPct             2    
expectency             1    
rmultipleStdDev        2    
systemQuality          0    
profitFactor           2    
proportionProfitable   0    
percentProfitable      48   
returnOnAccount        6    
averageProfitPerTrade  17   
numWinningTrades       11   
numLosingTrades        12   
averageWinningTrade    5    
averageLosingTrade     -3   
expectedValue          1    
