Metric                 Value   
---------------------  --------
startingCapital        100     
finalCapital           129     
profit                 29      
profitPct              29      
growth                 1       
totalTrades            3       
barCount               4       
maxDrawdown            0       
maxDrawdownPct         0       
maxRiskPct             2       
expectency             4       
rmultipleStdDev        4       
systemQuality          1       
profitFactor           NaN     
proportionProfitable   1       
percentProfitable      100     
returnOnAccount        Infinity
averageProfitPerTrade  10      
numWinningTrades       3       
numLosingTrades        0       
averageWinningTrade    27      
averageLosingTrade     0       
expectedValue          27      
