Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           124  
profit                 24   
profitPct              24   
growth                 1    
totalTrades            21   
barCount               14   
maxDrawdown            -18  
maxDrawdownPct         -13  
maxRiskPct             2    
expectency             1    
rmultipleStdDev        3    
systemQuality          0    
profitFactor           2    
proportionProfitable   0    
percentProfitable      48   
returnOnAccount        2    
averageProfitPerTrade  1    
numWinningTrades       10   
numLosingTrades        11   
averageWinningTrade    6    
averageLosingTrade     -4   
expectedValue          1    
