date and time now = 18/01/2021 21:42:32
Code      Total    Recent    Prev    Change    % Change    Rockets     Price    PrvCls    %Change     Volume  3mAvgVol    %ChangeVol    Float
------  -------  --------  ------  --------  ----------  ---------  --------  --------  ---------  ---------  ----------  ------------  --------------------------------------
XXII         15        15       0        15     150.000      2.780     2.850    -2.456    1712998    3041225  -43.674     137951054     Drug Manufacturers—Specialty & Generic
AMC          10        10       0        10     100.000      2.330     2.180     6.881  162356375   29682588  446.975     101951813     Entertainment
SOL          10        10       0        10     100.000     22.490    25.260   -10.966    3148620    3730022  -15.587     19893383      Solar
SSPK          5         5       0         5      50.000     18.110    18.690     3.901     866022    1296319  -33.194     1331547       Shell Companies
NSCO          5         5       0         5      50.000      7.350     7.250     1.379     156689     613851  -74.474     13938868      Rental & Leasing Services
BHTG          5         5       0         5      50.000      1.440     1.480    -2.703     562634     556664  1.072       19322974      Pollution & Treatment Controls
WMT           5         5       0         5      50.000    144.640   146.970    -1.585   10870864    7096587  53.184      1431222579    Discount Stores
UNP           5         5       0         5      50.000    216.600   216.160     0.204    2220681    2841609  -21.851     672500911     Railroads
NEE           5         5       0         5      50.000     82.040    82.530    -0.594    9204820    7308445  25.948      1954724979    Utilities—Regulated Electric
HON           5         5       0         5      50.000    205.970   208.610    -1.266    3667136    3013929  21.673      665485799     Specialty Industrial Machinery
PEP           5         5       0         5      50.000    141.390   141.760    -0.261    4309077    3798430  13.444      1379247850    Beverages—Non-Alcoholic
JNJ           5         5       0         5      50.000    160.300   160.650    -0.218    7427398    7394343  0.447       2629804828    Drug Manufacturers—General
DUK           5         5       0         5      50.000     92.110    91.660     0.491    2871211    3016400  -4.813      734920858     Utilities—Regulated Electric
ABBV          5         5       0         5      50.000    110.520   111.630    -0.994    9196450    8361700  9.983       1741887191    Drug Manufacturers—General
MCD           5         5       0         5      50.000    209.910   208.500     0.676    3222692    3163174  1.882       744492546     Restaurants
TPGY          5         5       0         5      50.000     24.630    22.740     8.311    2904462    2037191  42.572      N/A           Shell Companies
AUPH          5         5       0         5      50.000     13.310    14.460    -7.953    5386140    1970327  173.363     111116579     Biotechnology
GPM           5         5       0         5      50.000      6.630     6.690    -0.897     216596     221696  -2.300      N/A           Asset Management
JAMF          5         5       0         5      50.000     33.440    33.680    -0.713     508096     719296  -29.362     42951776      Software—Application
TDA           5         5       0         5      50.000     25.110    25.150    -0.159       9730      12900  -24.574     0             0
DNN           5         5       0         5      50.000      0.777     0.803    -3.250    3951061    2655211  48.804      614963764     Uranium
HTBX          5         5       0         5      50.000      6.340     6.210     2.093    2067345    1289969  60.263      21752959      Biotechnology
PHX           5         5       0         5      50.000      2.830     2.720     4.044     206249     176887  16.599      13156786      Oil & Gas E&P
HCA           5         5       0         5      50.000    168.770   168.270     0.297    1055573    1486125  -28.971     263874742     Medical Care Facilities
PLTK          5         5       0         5      50.000     31.620    27.000    17.111   53050914          0  N/A         374059687     Electronic Gaming & Multimedia
RTX           5         5       0         5      50.000     69.200    70.940    -2.453    6754225    8131166  -16.934     1385471130    Aerospace & Defense
UBER          5         5       0         5      50.000     55.520    56.910    -2.442   23613022   22520285  4.852       1317111465    Software—Application
CSTM          5         5       0         5      50.000     14.030    14.600    -3.904     952806     870766  9.422       121063107     Aluminum
CVM           5         5       0         5      50.000     14.270    13.470     5.939    1113683     566491  96.593      37963403      Biotechnology
RETA          5         5       0         5      50.000    111.930   120.000    -6.725     399079     347567  14.821      25379166      Biotechnology
ANDR          5         5       0         5      50.000      0.047     0.035    34.286     256463      87983  191.492     57778202      Consumer Electronics
SPCE          5         5       0         5      50.000     30.430    33.030    -7.872   19145568   15224543  25.755      132715168     Aerospace & Defense
ANCE          5         5       0         5      50.000      0.004     0.004     0.000     100000     100303  -0.302      N/A           Real Estate—Development
RELI          5         5       0         5      50.000      0.070     0.067     5.263     152835     158196  -3.389      206424585     Insurance Brokers
AIN           5         5       0         5      50.000     76.030    78.010    -2.538      95864     156516  -38.751     30410773      Textile Manufacturing
STRO          5         5       0         5      50.000     27.030    25.930     4.242     964527     577309  67.073      29060066      Biotechnology
AVOI          5         5       0         5      50.000      0.014     0.011    27.679     158101      26991  485.755     157315658     Software—Application
SRNE          5         5       0         5      50.000      9.500     7.990    18.899   56077579   14429011  288.645     198527165     Biotechnology
SHOP         10         5       5         0       0.000   1170.470  1178.860    -0.712     857697    1447346  -40.740     109776897     Software—Application
CCIV         10         5       5         0       0.000     18.360    17.360     5.760  182803389   11471653  1493.523    N/A           Shell Companies
BNGO         20        10      10         0       0.000      8.430     6.950    21.295  236436195   63068261  274.889     151338577     Diagnostics & Research
GME         472       211     261       -50      -0.192     35.500    39.910   -11.050   45863160   13612306  236.924     46920872      Specialty Retail
NIO          43        17      26        -9      -0.346     56.270    60.870    -7.557  130883693  180375327  -27.438     1112908977    Auto Manufacturers
MSFT         26        10      16        -6      -0.375    212.650   213.020    -0.174   31746512   28242566  12.407      7449961518    Software—Infrastructure
BABA         15         5      10        -5      -0.500    243.460   242.980     0.198   21561645   25589816  -15.741     1849833265    Internet Retail
AAPL         21         5      16       -11      -0.688    127.140   128.910    -1.373  111598531  108764543  2.606       16984460162   Consumer Electronics
TSLA         30         5      25       -20      -0.800    826.160   845.000    -2.230   38777596   44450812  -12.763     759552857     Auto Manufacturers
PLTR         32         5      27       -22      -0.815     25.640    24.920     2.889   90913579   60591022  50.045      1036011961    Software—Infrastructure
HAL           6         0       6        -6      -1.000     20.740    21.760    -4.688   12252399   12501401  -1.992      880073375     Oil & Gas Equipment & Services
WINT          5         0       5        -5      -1.000      6.030     6.180    -2.427      20401      16793  21.485      4472009       Biotechnology
IDEX          5         0       5        -5      -1.000      3.180     3.300    -3.636   83920774   43804498  91.580      200267564     Software—Application
PFE           5         0       5        -5      -1.000     36.700    36.750    -0.136   34287816   46447524  -26.179     5549280829    Drug Manufacturers—General
ZOM           5         0       5        -5      -1.000      0.975     1.010    -3.455  133121056  130671127  1.875       501007409     Drug Manufacturers—Specialty & Generic
WOOF         16         0      16       -16      -1.000     27.710    29.400    -5.748   13725955   32898750  -58.278     N/A           Specialty Retail
SENS          4         0       4        -4      -1.000      1.580     1.200    31.667  203403482   10763677  1789.721    114087574     Diagnostics & Research
SPWR          5         0       5        -5      -1.000     31.960    35.080    -8.894   11724823    8496201  38.001      80914245      Solar
PECK          5         0       5        -5      -1.000     16.150    18.840   -14.278    1671137    1088109  53.582      3145631       Solar
APHA          5         0       5        -5      -1.000     12.420    12.110     2.560   53879826   13301004  305.081     312567697     Drug Manufacturers—Specialty & Generic
PPD           5         0       5        -5      -1.000     36.500    35.940     1.558     524952    1052741  -50.135     169585904     Drug Manufacturers—Specialty & Generic
PYPL          5         0       5        -5      -1.000    239.790   242.060    -0.938    8373333    9010056  -7.067      1170344363    Credit Services
BEKE          5         0       5        -5      -1.000     62.380    62.540    -0.256    1834607    2868117  -36.034     389103285     Real Estate Services
BSRC          5         0       5        -5      -1.000      0.142     0.159   -10.523   38164376   18100296  110.849     373886054     Solar
GOEV          5         0       5        -5      -1.000     16.900    17.440    -3.096    4483514    4125093  8.689       15391821      Auto Manufacturers
AFRM          5         0       5        -5      -1.000    117.000   114.940     1.792    8310663   18102500  -54.091     18720100      Information Technology Services
NNDM          5         0       5        -5      -1.000     10.380    10.370     0.096   32918100   26610206  23.705      44811930      Computer Hardware
FNKO          5         0       5        -5      -1.000     12.060    12.700    -5.039     660504     890069  -25.792     16425213      Leisure
JMIA          5         0       5        -5      -1.000     43.470    46.860    -7.234    9629381   16190932  -40.526     47961012      Internet Retail
NIU           5         0       5        -5      -1.000     37.990    39.220    -3.136    1820423    2137412  -14.831     36077719      Auto Manufacturers
BEP           5         0       5        -5      -1.000     45.040    45.700    -1.444     644148     543330  18.556      205857628     Utilities—Renewable
INTC          5         0       5        -5      -1.000     57.580    59.250    -2.819   50265363   40668795  23.597      4094639640    Semiconductors
SNAP          5         0       5        -5      -1.000     50.310    49.030     2.611   22625728   35671596  -36.572     1083201028    Internet Content & Information
POSH          5         0       5        -5      -1.000     83.200   101.500   -18.030    3822090    6852850  -44.226     1436160       Internet Retail
FUBO          5         0       5        -5      -1.000     32.130    35.620    -9.798   23996462   15156141  58.328      52063832      Broadcasting
LEAP          5         0       5        -5      -1.000     15.330    15.610    -1.794     251925     135748  85.583      N/A           Shell Companies
BBBY         35         0      35       -35      -1.000     25.595    27.340    -6.383   13654686    9097701  50.089      109004067     Specialty Retail
ATVK          5         0       5        -5      -1.000      0.265     0.241     9.959   20020044   21157916  -5.378      64874451      Specialty Industrial Machinery
CLF           5         0       5        -5      -1.000     16.480    18.150    -9.201   20578348   12266475  67.761      328168682     Steel
SNWV          5         0       5        -5      -1.000      0.170     0.169     0.118     904411     299385  202.090     358413025     Medical Devices
AMZN         16         0      16       -16      -1.000   3104.250  3127.470    -0.742    4243995    4152604  2.201       427783024     Internet Retail
MIK          16         0      16       -16      -1.000     16.470    17.470    -5.724    7882403    5288282  49.054      83404250      Specialty Retail
PLUG         16         0      16       -16      -1.000     60.140    66.540    -9.618   80671043   41079382  96.378      397254203     Electrical Equipment & Parts
NFLX         16         0      16       -16      -1.000    497.980   500.860    -0.575    5895788    4766640  23.689      435976568     Entertainment
JPM          16         0      16       -16      -1.000    138.640   141.170    -1.792   27881016   14916879  86.909      3022351822    Banks—Diversified
KIRK         16         0      16       -16      -1.000     19.380    20.580    -5.831     867223    1153729  -24.833     11141604      Specialty Retail
WFC          16         0      16       -16      -1.000     32.040    34.750    -7.799   91993100   40078025  129.535     4121767688    Banks—Diversified
DOW          16         0      16       -16      -1.000     57.310    59.650    -3.923    6692942    4078395  64.107      740757815     Chemicals
WSM          16         0      16       -16      -1.000    124.860   125.130    -0.216    1241927    1179751  5.270       75687810      Specialty Retail
FCEL         16         0      16       -16      -1.000     15.840    17.600   -10.000   59785082   65436959  -8.637      215987197     Electrical Equipment & Parts

